model,base,format,trained_on,optimizer,lr,max_len,epochs,num_labels,init,aggregate,split,category,prauc,n_pairs,n_pos
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Канцелярские товары,0.858716,4361,1515
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Электроника,0.814768,4593,822
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Продукты питания,0.899793,4572,1263
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Хобби и творчество,0.948723,4488,2144
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Продукты питания,0.901063,4581,1203
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Одежда,0.631882,5797,721
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Красота и гигиена,0.853762,4295,1595
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Бытовая химия,0.913435,4337,1983
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Дом и сад,0.858001,4573,1164
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Хобби и творчество,0.944227,4461,2028
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Аптека,0.885974,4621,333
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Продукты питания,0.892887,4549,1272
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Спорт и отдых,0.764553,4319,1122
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Аптека,0.893756,4598,318
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Музыкальные инструменты,0.904424,4447,992
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Бытовая техника,0.861168,4467,1615
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Товары для животных,0.913502,4534,1602
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Детские товары,0.929311,4432,2522
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Музыкальные инструменты,0.880517,4436,944
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Детские товары,0.927295,4329,2477
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Бытовая химия,0.922296,4339,2058
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Строительство и ремонт,0.815359,4559,979
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Галантерея и аксессуары,0.763875,4507,770
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Дом и сад,0.860138,4316,1133
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Строительство и ремонт,0.850766,4495,1004
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Электроника,0.804254,4906,835
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Галантерея и аксессуары,0.754346,4482,756
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Красота и гигиена,0.845677,4224,1532
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Автотовары,0.738395,4756,807
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Дом и сад,0.862362,4249,1110
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Бытовая техника,0.855752,4489,1595
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Электроника,0.806063,4526,760
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Аптека,0.879198,4546,338
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Канцелярские товары,0.829509,4290,1436
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Спорт и отдых,0.748948,4469,1133
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Мебель,0.797552,4570,686
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Продукты питания,0.903877,4582,1208
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Музыкальные инструменты,0.878373,4375,958
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Галантерея и аксессуары,0.762508,4428,715
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Строительство и ремонт,0.824671,4556,989
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Обувь,0.606889,4482,446
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Дом и сад,0.867153,4436,1201
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Спорт и отдых,0.74388,4512,1172
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Хобби и творчество,0.944491,4389,2040
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Бытовая техника,0.858389,4467,1615
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Аптека,0.891566,4520,339
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Канцелярские товары,0.820683,4381,1468
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Детские товары,0.921452,4370,2410
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Автотовары,0.732522,4808,841
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Электроника,0.799592,4526,760
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Мебель,0.77786,4583,680
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Красота и гигиена,0.848811,4295,1595
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Красота и гигиена,0.836786,4377,1549
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Канцелярские товары,0.856886,4361,1515
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Красота и гигиена,0.854255,4390,1607
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Галантерея и аксессуары,0.760292,4428,715
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Мебель,0.793882,4648,717
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Бытовая техника,0.860659,4489,1595
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Красота и гигиена,0.842635,4224,1532
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Строительство и ремонт,0.84395,4495,1004
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Аптека,0.8821,4546,338
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Спорт и отдых,0.767851,4417,1173
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Спорт и отдых,0.765072,4319,1122
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Продукты питания,0.898517,4572,1263
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Автотовары,0.751213,4660,822
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Детские товары,0.928276,4430,2460
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Детские товары,0.92782,4329,2477
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Детские товары,0.930203,4432,2522
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Хобби и творчество,0.939003,4339,1990
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Канцелярские товары,0.813796,4403,1484
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Спорт и отдых,0.740023,4512,1172
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Ювелирные изделия,0.587075,4824,586
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Одежда,0.614113,5946,691
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Ювелирные изделия,0.627789,4665,567
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Бытовая химия,0.923888,4360,2099
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Дом и сад,0.86115,4436,1201
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Бытовая техника,0.857845,4350,1571
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Обувь,0.607973,4616,436
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Галантерея и аксессуары,0.763284,4507,770
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Товары для животных,0.912499,4537,1629
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Строительство и ремонт,0.841464,4492,957
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Аптека,0.877622,4621,333
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Бытовая химия,0.911421,4337,1983
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Галантерея и аксессуары,0.751277,4482,756
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Бытовая техника,0.864229,4508,1623
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Товары для животных,0.9147,4534,1602
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Строительство и ремонт,0.813195,4556,989
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Канцелярские товары,0.827049,4290,1436
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Электроника,0.80681,4906,835
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Бытовая химия,0.930677,4400,2043
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Продукты питания,0.905311,4582,1208
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Музыкальные инструменты,0.882087,4375,958
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Спорт и отдых,0.751848,4469,1133
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Аптека,0.895984,4598,318
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Товары для животных,0.915491,4580,1638
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Одежда,0.603866,5777,664
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Электроника,0.786891,4656,810
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Продукты питания,0.889055,4549,1272
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Бытовая химия,0.919955,4339,2058
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Электроника,0.812317,4593,822
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Музыкальные инструменты,0.903631,4447,992
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Обувь,0.588599,4642,488
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Дом и сад,0.861121,4316,1133
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Музыкальные инструменты,0.880123,4436,944
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Одежда,0.624592,5797,721
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Хобби и творчество,0.947284,4488,2144
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Продукты питания,0.899814,4581,1203
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Обувь,0.602978,4622,443
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Ювелирные изделия,0.660566,4540,578
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Хобби и творчество,0.942758,4461,2028
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Музыкальные инструменты,0.87651,4559,1056
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Строительство и ремонт,0.810932,4559,979
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Мебель,0.792098,4570,686
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Галантерея и аксессуары,0.761394,4567,774
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Автотовары,0.726405,4786,856
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Дом и сад,0.856212,4573,1164
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Ювелирные изделия,0.637656,4666,586
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Обувь,0.60112,4482,446
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Автотовары,0.735736,4756,807
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Хобби и творчество,0.94427,4389,2040
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_01,Товары для животных,0.91271,4560,1611
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_03,Одежда,0.59672,5837,675
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_04,Дом и сад,0.862124,4249,1110
mb_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,224,2,2,mb_llm,soup,val_fold_02,Мебель,0.780651,4565,673
mb_ce1_fold01,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,none,val_fold_01,Дом и сад,0.860611,4573,1164
mb_ce1_fold01,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,none,val_fold_01,Мебель,0.787509,4583,680
mb_ce1_fold01,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,none,val_fold_01,Ювелирные изделия,0.670694,4540,578
mb_ce1_fold01,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,none,val_fold_01,Строительство и ремонт,0.8174,4559,979
mb_ce1_fold01,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,none,val_fold_01,Товары для животных,0.914542,4560,1611
mb_ce1_fold01,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,none,val_fold_01,Бытовая техника,0.862737,4467,1615
mb_ce1_fold01,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,none,val_fold_01,Продукты питания,0.897419,4549,1272
mb_ce1_fold01,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,none,val_fold_01,Одежда,0.639238,5946,691
