category,fold,slice,n,positives,negatives,coverage,prevalence,baseline_ap,parent_baseline_ap,collapse_delta,groups
Обувь,fold_01,numeric_conflict,59,8,51,0.013163766175814369,0.13559322033898305,0.705026455026455,0.5788291810730476,0.1261972739534074,59
Обувь,fold_01,numeric_missing,4286,419,3867,0.9562695225345827,0.09776014932337844,0.5679053187212214,0.5788291810730476,-0.010923862351826186,4136
Обувь,fold_01,numeric_overlap,137,19,118,0.030566711289602855,0.1386861313868613,0.7244578408941824,0.5788291810730476,0.14562865982113482,123
Обувь,fold_01,text_long,1203,123,1080,0.2684069611780455,0.10224438902743142,0.5730469614088027,0.5788291810730476,-0.005782219664244859,1155
Обувь,fold_01,text_medium,3258,322,2936,0.7269076305220884,0.09883364027010436,0.5820874902366312,0.5788291810730476,0.003258309163583606,3172
Обувь,fold_01,text_very_long,21,1,20,0.004685408299866131,0.047619047619047616,1.0,0.5788291810730476,0.4211708189269524,21
Обувь,fold_01,score_01_05,148,0,148,0.03302097278000892,0.0,,0.5788291810730476,,148
Обувь,fold_01,score_05_20,1732,9,1723,0.38643462739848283,0.005196304849884526,0.06251428570032297,0.5788291810730476,-0.5163148953727246,1693
Обувь,fold_01,score_20_50,1403,48,1355,0.3130298973672468,0.03421240199572345,0.07149965951385605,0.5788291810730476,-0.5073295215591915,1359
Обувь,fold_01,score_50_80,1066,289,777,0.23784024988844266,0.27110694183864914,0.4789350193903164,0.5788291810730476,-0.09989416168273119,1052
Обувь,fold_01,score_80_95,133,100,33,0.02967425256581883,0.7518796992481203,0.8429100068801838,0.5788291810730476,0.2640808258071362,132
Обувь,fold_01,text_asymmetric,589,55,534,0.13141454707719769,0.0933786078098472,0.38967808334877085,0.5788291810730476,-0.18915109772427674,565
Обувь,fold_02,all,4622,443,4179,1.0,0.09584595413241022,0.5802672270769795,0.5802672270769795,0.0,4427
Обувь,fold_02,name_exact,263,12,251,0.05690177412375595,0.045627376425855515,0.41506175823890845,0.5802672270769795,-0.16520546883807108,244
Обувь,fold_02,name_near,47,3,44,0.010168758113370835,0.06382978723404255,0.8055555555555556,0.5802672270769795,0.22528832847857605,40
Обувь,fold_02,name_other,4312,428,3884,0.9329294677628732,0.09925788497217068,0.586972649465948,0.5802672270769795,0.0067054223889684295,4160
Обувь,fold_02,attrs_present,4622,443,4179,1.0,0.09584595413241022,0.5802672270769795,0.5802672270769795,0.0,4427
Обувь,fold_02,brand_agree,531,150,381,0.11488533102553007,0.2824858757062147,0.6829112685942126,0.5802672270769795,0.10264404151723305,517
Обувь,fold_02,brand_conflict,462,22,440,0.09995672868887927,0.047619047619047616,0.6837486620032249,0.5802672270769795,0.1034814349262454,459
Обувь,fold_02,brand_one_missing,3629,271,3358,0.7851579402855906,0.07467621934417194,0.5022798151381801,0.5802672270769795,-0.07798741193879943,3462
Обувь,fold_02,model_agree,68,2,66,0.014712245781047165,0.029411764705882353,0.75,0.5802672270769795,0.16973277292302047,68
Обувь,fold_02,model_conflict,1266,174,1092,0.27390739939420167,0.13744075829383887,0.7073453175531487,0.5802672270769795,0.12707809047616914,1237
Обувь,fold_02,model_one_missing,3288,267,3021,0.7113803548247511,0.0812043795620438,0.4823175219627904,0.5802672270769795,-0.09794970511418916,3133
Обувь,fold_02,article_both_missing,3453,288,3165,0.7470791864993509,0.08340573414422242,0.5096883509831329,0.5802672270769795,-0.07057887609384661,3286
Обувь,fold_02,article_one_missing,1169,155,1014,0.25292081350064904,0.13259195893926431,0.6889689190301285,0.5802672270769795,0.10870169195314894,1148
Обувь,fold_02,size_comparable_agree,409,63,346,0.08848983124188663,0.15403422982885084,0.674478899937434,0.5802672270769795,0.09421167286045451,409
Обувь,fold_02,size_comparable_mismatch,3140,285,2855,0.6793595845954132,0.09076433121019108,0.5766769139777784,0.5802672270769795,-0.0035903130992011034,3009
Обувь,fold_02,size_not_comparable,1073,95,978,0.23215058416270012,0.08853681267474371,0.5284997782527692,0.5802672270769795,-0.05176744882421036,1038
Обувь,fold_02,numeric_conflict,71,11,60,0.01536131544785807,0.15492957746478872,0.4103927473492691,0.5802672270769795,-0.16987447972771041,70
Обувь,fold_02,numeric_missing,4447,415,4032,0.9621376027693639,0.09332134022936811,0.5873880047439672,0.5802672270769795,0.00712077766698771,4277
Обувь,fold_02,numeric_overlap,104,17,87,0.02250108178277802,0.16346153846153846,0.6534562007882811,0.5802672270769795,0.07318897371130162,98
Обувь,fold_02,text_long,1137,101,1036,0.24599740372133275,0.08883025505716799,0.5307588449880613,0.5802672270769795,-0.04950838208891828,1111
Обувь,fold_02,text_medium,3457,341,3116,0.7479446127217655,0.0986404396875904,0.5983061675056919,0.5802672270769795,0.018038940428712347,3336
Обувь,fold_02,text_very_long,28,1,27,0.006057983556901774,0.03571428571428571,0.5,0.5802672270769795,-0.08026722707697953,27
Обувь,fold_02,score_01_05,98,0,98,0.02120294244915621,0.0,,0.5802672270769795,,93
Обувь,fold_02,score_05_20,1665,7,1658,0.36023366508005195,0.004204204204204204,0.008138440011307788,0.5802672270769795,-0.5721287870656717,1627
Обувь,fold_02,score_20_50,1739,54,1685,0.3762440501947209,0.03105232892466935,0.08482889917540434,0.5802672270769795,-0.49543832790157516,1681
Обувь,fold_02,score_50_80,1030,312,718,0.22284725227174385,0.3029126213592233,0.5331306123009065,0.5802672270769795,-0.047136614776073005,1020
Обувь,fold_02,score_80_95,89,69,20,0.019255733448723496,0.7752808988764045,0.8769897032011119,0.5802672270769795,0.2967224761241324,89
Обувь,fold_02,score_95_99,1,1,0,0.00021635655560363478,1.0,,0.5802672270769795,,1
Обувь,fold_02,text_asymmetric,556,47,509,0.12029424491562095,0.08453237410071943,0.3947547879807009,0.5802672270769795,-0.18551243909627863,528
Обувь,fold_03,all,4616,436,4180,1.0,0.09445407279029462,0.5896732952561569,0.5896732952561569,0.0,4391
Обувь,fold_03,name_exact,232,19,213,0.05025996533795494,0.08189655172413793,0.5732665047138732,0.5896732952561569,-0.016406790542283667,222
Обувь,fold_03,name_near,53,4,49,0.011481802426343155,0.07547169811320754,1.0,0.5896732952561569,0.41032670474384314,43
Обувь,fold_03,name_other,4331,413,3918,0.9382582322357019,0.09535903948279843,0.5894322216443147,0.5896732952561569,-0.00024107361184211307,4146
Обувь,fold_03,attrs_present,4616,436,4180,1.0,0.09445407279029462,0.5896732952561569,0.5896732952561569,0.0,4391
Обувь,fold_03,brand_agree,566,158,408,0.12261698440207973,0.2791519434628975,0.6477476127457524,0.5896732952561569,0.05807431748959557,547
Обувь,fold_03,brand_conflict,473,37,436,0.10246967071057192,0.07822410147991543,0.7054271767596669,0.5896732952561569,0.11575388150351007,469
Обувь,fold_03,brand_one_missing,3577,241,3336,0.7749133448873483,0.06737489516354488,0.5295311436576812,0.5896732952561569,-0.06014215159847569,3395
Обувь,fold_03,model_agree,73,4,69,0.015814558058925475,0.0547945205479452,0.7928571428571429,0.5896732952561569,0.20318384760098607,72
Обувь,fold_03,model_conflict,1248,184,1064,0.2703639514731369,0.14743589743589744,0.6585563346487405,0.5896732952561569,0.06888303939258367,1216
Обувь,fold_03,model_one_missing,3295,248,3047,0.7138214904679376,0.07526555386949924,0.5331548818596848,0.5896732952561569,-0.05651841339647201,3113
Обувь,fold_03,article_both_missing,3428,275,3153,0.74263431542461,0.08022170361726955,0.5275591804708328,0.5896732952561569,-0.062114114785324026,3242
Обувь,fold_03,article_one_missing,1188,161,1027,0.25736568457538994,0.13552188552188552,0.6834495418534015,0.5896732952561569,0.0937762465972446,1155
Обувь,fold_03,size_comparable_agree,429,76,353,0.09293760831889082,0.17715617715617715,0.6789288967688418,0.5896732952561569,0.08925560151268497,426
Обувь,fold_03,size_comparable_mismatch,3081,282,2799,0.6674610051993067,0.09152872444011685,0.5804721337477622,0.5896732952561569,-0.009201161508394673,2943
Обувь,fold_03,size_not_comparable,1106,78,1028,0.23960138648180243,0.0705244122965642,0.54589147199378,0.5896732952561569,-0.043781823262376895,1057
Обувь,fold_03,numeric_conflict,71,11,60,0.015381282495667245,0.15492957746478872,0.7663947163947163,0.5896732952561569,0.1767214211385595,69
Обувь,fold_03,numeric_missing,4386,399,3987,0.9501733102253033,0.09097127222982217,0.57283287358976,0.5896732952561569,-0.016840421666396876,4203
Обувь,fold_03,numeric_overlap,159,26,133,0.034445407279029464,0.16352201257861634,0.7951529446975231,0.5896732952561569,0.2054796494413662,142
Обувь,fold_03,text_long,1211,124,1087,0.2623483535528596,0.10239471511147812,0.5188173772989406,0.5896732952561569,-0.07085591795721624,1162
Обувь,fold_03,text_medium,3373,312,3061,0.7307192374350087,0.09249925882004151,0.6166910888670117,0.5896732952561569,0.02701779361085488,3255
Обувь,fold_03,text_very_long,32,0,32,0.006932409012131715,0.0,,0.5896732952561569,,31
Обувь,fold_03,score_01_05,127,0,127,0.027512998266897747,0.0,,0.5896732952561569,,125
Обувь,fold_03,score_05_20,1721,1,1720,0.37283362218370886,0.0005810575246949448,0.0013869625520110957,0.5896732952561569,-0.5882863327041458,1673
Обувь,fold_03,score_20_50,1525,44,1481,0.33037261698440207,0.028852459016393443,0.04662163819666347,0.5896732952561569,-0.5430516570594934,1468
Обувь,fold_03,score_50_80,1147,322,825,0.2484835355285962,0.2807323452484743,0.5367519056261256,0.5896732952561569,-0.052921389630031235,1125
Обувь,fold_03,score_80_95,96,69,27,0.02079722703639515,0.71875,0.8759919798750859,0.5896732952561569,0.28631868461892906,96
Обувь,fold_03,text_asymmetric,568,35,533,0.12305025996533796,0.061619718309859156,0.35155252895930555,0.5896732952561569,-0.2381207662968513,536
Обувь,fold_04,all,4642,488,4154,1.0,0.10512710038776389,0.5677430507557529,0.5677430507557529,0.0,4456
Обувь,fold_04,name_exact,254,17,237,0.05471779405428694,0.06692913385826772,0.4349061874299151,0.5677430507557529,-0.13283686332583783,247
Обувь,fold_04,name_near,46,2,44,0.00990952175786299,0.043478260869565216,1.0,0.5677430507557529,0.43225694924424707,38
Обувь,fold_04,name_other,4342,469,3873,0.93537268418785,0.1080147397512667,0.5690163546407934,0.5677430507557529,0.0012733038850404332,4190
Обувь,fold_04,attrs_present,4642,488,4154,1.0,0.10512710038776389,0.5677430507557529,0.5677430507557529,0.0,4456
Обувь,fold_04,brand_agree,572,173,399,0.12322274881516587,0.30244755244755245,0.6630257213873673,0.5677430507557529,0.09528267063161433,558
Обувь,fold_04,brand_conflict,457,40,417,0.0984489444205084,0.087527352297593,0.7331906700899474,0.5677430507557529,0.1654476193341945,452
Обувь,fold_04,brand_one_missing,3613,275,3338,0.7783283067643257,0.07611403265983947,0.48754153733151134,0.5677430507557529,-0.08020151342424159,3458
Обувь,fold_04,model_agree,78,7,71,0.01680310211115898,0.08974358974358974,0.9999999999999998,0.5677430507557529,0.43225694924424685,76
Обувь,fold_04,model_conflict,1243,210,1033,0.2677725118483412,0.16894609814963799,0.6983925353972497,0.5677430507557529,0.13064948464149673,1212
Обувь,fold_04,model_one_missing,3321,271,3050,0.7154243860404997,0.08160192713038242,0.44827889010116234,0.5677430507557529,-0.11946416065459059,3173
Обувь,fold_04,article_both_missing,3475,298,3177,0.7485997414907367,0.08575539568345324,0.4890498237842777,0.5677430507557529,-0.07869322697147524,3315
Обувь,fold_04,article_one_missing,1167,190,977,0.25140025850926323,0.16281062553556128,0.6695330355272813,0.5677430507557529,0.10178998477152834,1145
Обувь,fold_04,size_comparable_agree,414,58,356,0.08918569582076691,0.14009661835748793,0.50026794056844,0.5677430507557529,-0.06747511018731289,413
Обувь,fold_04,size_comparable_mismatch,3086,330,2756,0.6647996553209823,0.10693454309786131,0.5987712140201953,0.5677430507557529,0.031028163264442354,2982
Обувь,fold_04,size_not_comparable,1142,100,1042,0.24601464885825075,0.08756567425569177,0.538633675497984,0.5677430507557529,-0.02910937525776891,1091
Обувь,fold_04,numeric_conflict,66,6,60,0.014218009478672985,0.09090909090909091,0.7568713450292397,0.5677430507557529,0.18912829427348676,66
Обувь,fold_04,numeric_missing,4438,458,3980,0.9560534252477381,0.103199639477242,0.5705601895852926,0.5677430507557529,0.0028171388295397115,4275
Обувь,fold_04,numeric_overlap,138,24,114,0.02972856527358897,0.17391304347826086,0.5759286061401758,0.5677430507557529,0.008185555384422893,129
Обувь,fold_04,text_long,1221,138,1083,0.26303317535545023,0.11302211302211303,0.6293196628349425,0.5677430507557529,0.06157661207918952,1183
Обувь,fold_04,text_medium,3396,350,3046,0.7315812149935372,0.10306242638398115,0.5540389347325917,0.5677430507557529,-0.013704116023161239,3291
Обувь,fold_04,text_very_long,25,0,25,0.005385609651012494,0.0,,0.5677430507557529,,25
Обувь,fold_04,score_01_05,233,0,233,0.05019388194743645,0.0,,0.5677430507557529,,232
Обувь,fold_04,score_05_20,1833,9,1824,0.3948728996122361,0.004909983633387889,0.04120902919702594,0.5677430507557529,-0.526534021558727,1783
Обувь,fold_04,score_20_50,1408,66,1342,0.3033175355450237,0.046875,0.09649790992187698,0.5677430507557529,-0.4712451408338759,1385
Обувь,fold_04,score_50_80,1065,336,729,0.22942697113313226,0.3154929577464789,0.5315368582990851,0.5677430507557529,-0.036206192456667785,1049
Обувь,fold_04,score_80_95,103,77,26,0.02218871176217148,0.7475728155339806,0.7692236886750012,0.5677430507557529,0.2014806379192483,103
Обувь,fold_04,text_asymmetric,647,57,590,0.13937957776820337,0.08809891808346214,0.3885549764669811,0.5677430507557529,-0.17918807428877181,620
Одежда,fold_01,all,5946,691,5255,1.0,0.11621257988563741,0.6027141252324629,0.6027141252324629,0.0,5713
Одежда,fold_01,name_exact,183,18,165,0.03077699293642785,0.09836065573770492,0.6255254945242482,0.6027141252324629,0.02281136929178529,180
Одежда,fold_01,name_near,44,11,33,0.007399932727884292,0.25,0.7666583416583417,0.6027141252324629,0.16394421642587875,44
Одежда,fold_01,name_other,5719,662,5057,0.9618230743356878,0.11575450253540828,0.5993921882138163,0.6027141252324629,-0.0033219370186465813,5494
Одежда,fold_01,attrs_one_missing,1,0,1,0.00016818028927009755,0.0,,0.6027141252324629,,1
Одежда,fold_01,attrs_present,5945,691,5254,0.9998318197107299,0.11623212783851976,0.60274950821638,0.6027141252324629,3.538298391703165e-05,5712
Одежда,fold_01,brand_agree,149,70,79,0.025058863101244534,0.4697986577181208,0.7038100475222311,0.6027141252324629,0.10109592228976816,148
Одежда,fold_01,brand_conflict,222,17,205,0.03733602421796166,0.07657657657657657,0.5351076364239782,0.6027141252324629,-0.06760648880848474,221
Одежда,fold_01,brand_one_missing,5575,604,4971,0.9376051126807938,0.1083408071748879,0.5952384074172964,0.6027141252324629,-0.007475717815166538,5353
Одежда,fold_01,model_agree,106,14,92,0.01782711066263034,0.1320754716981132,0.6644775733339854,0.6027141252324629,0.061763448101522456,106
Одежда,fold_01,model_both_missing,46,9,37,0.007736293306424487,0.1956521739130435,0.6263468013468014,0.6027141252324629,0.023632676114338502,46
Одежда,fold_01,model_conflict,1058,158,900,0.17793474604776321,0.14933837429111532,0.6811485597980854,0.6027141252324629,0.07843443456562249,1035
Одежда,fold_01,model_one_missing,4736,510,4226,0.796501849983182,0.10768581081081081,0.576475573177873,0.6027141252324629,-0.026238552054589914,4550
Одежда,fold_01,article_both_missing,5236,604,4632,0.8805919946182308,0.11535523300229182,0.5852877919519341,0.6027141252324629,-0.017426333280528783,5021
Одежда,fold_01,article_one_missing,710,87,623,0.11940800538176925,0.12253521126760564,0.7148843549130278,0.6027141252324629,0.11217022968056489,701
Одежда,fold_01,size_comparable_agree,1209,187,1022,0.20332996972754794,0.15467328370554176,0.6549578964834868,0.6027141252324629,0.05224377125102386,1191
Одежда,fold_01,size_comparable_mismatch,3667,369,3298,0.6167171207534476,0.10062721570766293,0.5899451629199043,0.6027141252324629,-0.01276896231255864,3540
Одежда,fold_01,size_not_comparable,1070,135,935,0.17995290951900436,0.1261682242990654,0.5883643454131456,0.6027141252324629,-0.014349779819317288,1057
Одежда,fold_01,numeric_conflict,204,47,157,0.034308779011099896,0.23039215686274508,0.7262475910261046,0.6027141252324629,0.12353346579364166,202
Одежда,fold_01,numeric_missing,5540,596,4944,0.9317188025563404,0.10758122743682311,0.5829621644167358,0.6027141252324629,-0.019751960815727165,5322
Одежда,fold_01,numeric_overlap,202,48,154,0.0339724184325597,0.2376237623762376,0.7191252306533825,0.6027141252324629,0.11641110542091959,197
Одежда,fold_01,text_long,1316,148,1168,0.22132526067944838,0.11246200607902736,0.649011987138265,0.6027141252324629,0.046297861905802096,1290
Одежда,fold_01,text_medium,4622,542,4080,0.7773292970063909,0.11726525313717005,0.5940841862146887,0.6027141252324629,-0.008629939017774202,4436
Одежда,fold_01,text_short_both,1,0,1,0.00016818028927009755,0.0,,0.6027141252324629,,1
Одежда,fold_01,text_very_long,7,1,6,0.0011772620248906827,0.14285714285714285,0.5,0.6027141252324629,-0.10271412523246293,7
Одежда,fold_01,score_01_05,238,0,238,0.04002690884628322,0.0,,0.6027141252324629,,228
Одежда,fold_01,score_05_20,1960,6,1954,0.32963336696939116,0.003061224489795918,0.006294817033471869,0.6027141252324629,-0.596419308198991,1871
Одежда,fold_01,score_20_50,1832,59,1773,0.3081062899428187,0.03220524017467249,0.06227094238378499,0.6027141252324629,-0.540443182848678,1808
Одежда,fold_01,score_50_80,1663,442,1221,0.27968382105617223,0.26578472639807577,0.49608341356964114,0.6027141252324629,-0.10663071166282179,1632
Одежда,fold_01,score_80_95,253,184,69,0.04254961318533468,0.7272727272727273,0.8064681854296866,0.6027141252324629,0.20375406019722364,252
Одежда,fold_01,text_asymmetric,1096,126,970,0.1843255970400269,0.11496350364963503,0.554125980449574,0.6027141252324629,-0.048588144782888976,1081
Одежда,fold_02,all,5777,664,5113,1.0,0.11493854942011425,0.5915063221796568,0.5915063221796568,0.0,5585
Одежда,fold_02,name_exact,218,33,185,0.03773584905660377,0.15137614678899083,0.4358175950938088,0.5915063221796568,-0.15568872708584802,213
Одежда,fold_02,name_near,31,4,27,0.005366106975939069,0.12903225806451613,0.49166666666666664,0.5915063221796568,-0.09983965551299018,31
Одежда,fold_02,name_other,5528,627,4901,0.9568980439674571,0.11342257597684516,0.599585600315026,0.5915063221796568,0.008079278135369128,5342
Одежда,fold_02,attrs_present,5777,664,5113,1.0,0.11493854942011425,0.5915063221796568,0.5915063221796568,0.0,5585
Одежда,fold_02,brand_agree,152,63,89,0.026311234204604465,0.4144736842105263,0.7476398293738012,0.5915063221796568,0.15613350719414443,150
Одежда,fold_02,brand_conflict,203,23,180,0.03513934568114938,0.11330049261083744,0.6554404872222837,0.5915063221796568,0.06393416504262683,200
Одежда,fold_02,brand_one_missing,5422,578,4844,0.9385494201142461,0.1066027296200664,0.5710487311608395,0.5915063221796568,-0.020457591018817278,5243
Одежда,fold_02,model_agree,108,21,87,0.018694824303271594,0.19444444444444445,0.7567157384826559,0.5915063221796568,0.16520941630299912,107
Одежда,fold_02,model_both_missing,51,12,39,0.00882811147654492,0.23529411764705882,0.3449659327207093,0.5915063221796568,-0.24654038945894752,49
Одежда,fold_02,model_conflict,1028,157,871,0.17794703133114073,0.15272373540856032,0.6743318516955379,0.5915063221796568,0.08282552951588107,1008
Одежда,fold_02,model_one_missing,4590,474,4116,0.7945300328890428,0.10326797385620914,0.5662332039370869,0.5915063221796568,-0.025273118242569947,4438
Одежда,fold_02,article_both_missing,5038,581,4457,0.8720789337026138,0.11532354108773323,0.5743334255721575,0.5915063221796568,-0.01717289660749932,4864
Одежда,fold_02,article_one_missing,739,83,656,0.1279210662973862,0.11231393775372124,0.7107483449124237,0.5915063221796568,0.11924202273276685,729
Одежда,fold_02,size_comparable_agree,1173,172,1001,0.20304656396053314,0.1466325660699062,0.6330677200907422,0.5915063221796568,0.041561397911085374,1156
Одежда,fold_02,size_comparable_mismatch,3537,344,3193,0.6122554959321447,0.09725756290641786,0.5470518734003555,0.5915063221796568,-0.04445444877930127,3430
Одежда,fold_02,size_not_comparable,1067,148,919,0.18469794010732213,0.1387066541705717,0.6444309873539994,0.5915063221796568,0.05292466517434258,1046
Одежда,fold_02,numeric_conflict,165,41,124,0.02856153712999827,0.24848484848484848,0.7809223472848781,0.5915063221796568,0.18941602510522126,165
Одежда,fold_02,numeric_missing,5397,571,4826,0.9342219144884888,0.10579951825088012,0.5643318381402795,0.5915063221796568,-0.027174484039377278,5216
Одежда,fold_02,numeric_overlap,215,52,163,0.03721654838151289,0.24186046511627907,0.7394365314603637,0.5915063221796568,0.14793020928070688,211
Одежда,fold_02,text_long,1343,151,1192,0.2324736022156829,0.11243484735666419,0.6240514419327498,0.5915063221796568,0.03254511975309293,1319
Одежда,fold_02,text_medium,4425,512,3913,0.7659684957590445,0.11570621468926554,0.584015690780351,0.5915063221796568,-0.007490631399305836,4270
Одежда,fold_02,text_very_long,9,1,8,0.0015579020252726328,0.1111111111111111,0.3333333333333333,0.5915063221796568,-0.2581729888463235,9
Одежда,fold_02,score_01_05,137,0,137,0.02371473082915008,0.0,,0.5915063221796568,,135
Одежда,fold_02,score_05_20,1822,5,1817,0.315388610005193,0.0027442371020856204,0.006492911857454698,0.5915063221796568,-0.5850134103222021,1759
Одежда,fold_02,score_20_50,1969,51,1918,0.340834343084646,0.02590147282884713,0.06116610747929782,0.5915063221796568,-0.530340214700359,1934
Одежда,fold_02,score_50_80,1647,457,1190,0.28509607062489184,0.2774741955069824,0.4833165319514925,0.5915063221796568,-0.10818979022816433,1615
Одежда,fold_02,score_80_95,202,151,51,0.034966245456119094,0.7475247524752475,0.7996310064842427,0.5915063221796568,0.20812468430458586,201
Одежда,fold_02,text_asymmetric,1040,123,917,0.18002423403150425,0.11826923076923077,0.5436369377086975,0.5915063221796568,-0.04786938447095934,1020
Одежда,fold_03,all,5837,675,5162,1.0,0.11564159671063903,0.5846048518693114,0.5846048518693114,0.0,5655
Одежда,fold_03,name_exact,229,26,203,0.03923248243960939,0.11353711790393013,0.47203128671626765,0.5846048518693114,-0.11257356515304379,226
Одежда,fold_03,name_near,34,6,28,0.005824910056535891,0.17647058823529413,0.577020202020202,0.5846048518693114,-0.007584649849109448,34
Одежда,fold_03,name_other,5574,643,4931,0.9549426075038547,0.11535701471115896,0.589935598974789,0.5846048518693114,0.00533074710547754,5400
Одежда,fold_03,attrs_present,5837,675,5162,1.0,0.11564159671063903,0.5846048518693114,0.5846048518693114,0.0,5655
Одежда,fold_03,brand_agree,132,49,83,0.02261435669008052,0.3712121212121212,0.6720067250944853,0.5846048518693114,0.0874018732251739,131
Одежда,fold_03,brand_conflict,248,27,221,0.04248757923590886,0.10887096774193548,0.549689415815113,0.5846048518693114,-0.034915436054198445,244
Одежда,fold_03,brand_one_missing,5457,599,4858,0.9348980640740107,0.10976727139453912,0.5793879591767015,0.5846048518693114,-0.005216892692609942,5287
Одежда,fold_03,model_agree,100,14,86,0.01713208840157615,0.14,0.6452857841380332,0.5846048518693114,0.06068093226872173,99
Одежда,fold_03,model_both_missing,53,14,39,0.009080006852835361,0.2641509433962264,0.45786203770667555,0.5846048518693114,-0.1267428141626359,53
Одежда,fold_03,model_conflict,981,128,853,0.16806578721946205,0.1304791029561672,0.6275126160243963,0.5846048518693114,0.042907764155084904,959
Одежда,fold_03,model_one_missing,4703,519,4184,0.8057221175261264,0.11035509249415267,0.5795266579011384,0.5846048518693114,-0.005078193968172995,4558
Одежда,fold_03,article_both_missing,5138,602,4536,0.8802467020729827,0.11716621253405994,0.5806940180050993,0.5846048518693114,-0.003910833864212093,4981
Одежда,fold_03,article_one_missing,699,73,626,0.1197532979270173,0.1044349070100143,0.6379090153679762,0.5846048518693114,0.053304163498664736,683
Одежда,fold_03,size_comparable_agree,1217,185,1032,0.20849751584718176,0.15201314708299096,0.6484367724568467,0.5846048518693114,0.06383192058753528,1202
Одежда,fold_03,size_comparable_mismatch,3628,347,3281,0.6215521672091828,0.09564498346196251,0.5402132191360444,0.5846048518693114,-0.04439163273326707,3531
Одежда,fold_03,size_not_comparable,992,143,849,0.16995031694363544,0.14415322580645162,0.6042024607947668,0.5846048518693114,0.019597608925455368,972
Одежда,fold_03,numeric_conflict,193,43,150,0.033064930615041975,0.22279792746113988,0.8000772417503149,0.5846048518693114,0.21547238988100348,187
Одежда,fold_03,numeric_missing,5447,587,4860,0.933184855233853,0.10776574261061135,0.5816364414404553,0.5846048518693114,-0.002968410428856094,5281
Одежда,fold_03,numeric_overlap,197,45,152,0.03375021415110502,0.22842639593908629,0.4970341486382511,0.5846048518693114,-0.08757070323106031,194
Одежда,fold_03,text_long,1319,157,1162,0.22597224601678945,0.11902956785443518,0.6045731291331252,0.5846048518693114,0.019968277263813783,1294
Одежда,fold_03,text_medium,4508,517,3991,0.772314545143053,0.11468500443655723,0.5848309548207525,0.5846048518693114,0.00022610295144109838,4367
Одежда,fold_03,text_short_both,1,0,1,0.00017132088401576153,0.0,,0.5846048518693114,,1
Одежда,fold_03,text_very_long,9,1,8,0.0015418879561418537,0.1111111111111111,0.25,0.5846048518693114,-0.33460485186931144,9
Одежда,fold_03,score_01_05,202,0,202,0.03460681857118383,0.0,,0.5846048518693114,,198
Одежда,fold_03,score_05_20,1951,9,1942,0.33424704471475075,0.0046130189646335215,0.06904837066363369,0.5846048518693114,-0.5155564812056778,1896
Одежда,fold_03,score_20_50,1793,63,1730,0.3071783450402604,0.03513664249860569,0.06849646541160169,0.5846048518693114,-0.5161083864577097,1762
Одежда,fold_03,score_50_80,1721,470,1251,0.29484324139112555,0.27309703660662404,0.47616525258366016,0.5846048518693114,-0.10843959928565128,1694
